quarter,group,quarter_week,group_conference_attendance,total_group_res,total_conference_attendance
f17,ISG,4,14,80.0,184
f17,ISG,7,12,80.0,153
f17,ISG,9,17,80.0,163
f17,ISG,10,9,80.0,134
f17,ML,4,22,110.0,184
f17,ML,5,1,110.0,9
f17,ML,7,8,110.0,153
f17,ML,9,9,110.0,163
f17,ML,10,3,110.0,134
f17,MNS,4,6,53.0,184
f17,MNS,7,6,53.0,153
f17,MNS,9,9,53.0,163
f17,MNS,10,6,53.0,134
f17,Systems,4,5,53.0,184
f17,Systems,7,6,53.0,153
f17,Systems,9,6,53.0,163
f17,Systems,10,5,53.0,134
w18,ISG,1,13,81.0,102
w18,ISG,3,11,81.0,122
w18,ISG,4,11,81.0,117
w18,ISG,5,15,81.0,120
w18,ISG,6,2,81.0,10
w18,ISG,7,16,81.0,192
w18,ISG,8,7,81.0,99
w18,ISG,9,2,81.0,26
w18,ISG,10,8,81.0,100
w18,ISG,11,1,81.0,15
w18,ML,1,5,128.0,102
w18,ML,3,11,128.0,122
w18,ML,4,13,128.0,117
w18,ML,5,8,128.0,120
w18,ML,7,24,128.0,192
w18,ML,8,8,128.0,99
w18,ML,9,5,128.0,26
w18,ML,10,14,128.0,100
w18,ML,11,1,128.0,15
w18,MNS,1,7,65.0,102
w18,MNS,2,1,65.0,4
w18,MNS,3,12,65.0,122
w18,MNS,4,12,65.0,117
w18,MNS,5,6,65.0,120
w18,MNS,7,6,65.0,192
w18,MNS,8,6,65.0,99
w18,MNS,9,4,65.0,26
w18,MNS,10,7,65.0,100
w18,Systems,1,4,46.0,102
w18,Systems,3,2,46.0,122
w18,Systems,4,8,46.0,117
w18,Systems,5,2,46.0,120
w18,Systems,7,12,46.0,192
w18,Systems,8,3,46.0,99
w18,Systems,9,1,46.0,26
w18,Systems,10,4,46.0,100
s18,ISG,1,6,113.0,90
s18,ISG,2,18,113.0,171
s18,ISG,3,5,113.0,97
s18,ISG,4,9,113.0,95
s18,ISG,5,6,113.0,120
s18,ISG,6,9,113.0,96
s18,ISG,9,22,113.0,123
s18,ISG,10,1,113.0,71
s18,ML,1,5,118.0,90
s18,ML,2,13,118.0,171
s18,ML,3,9,118.0,97
s18,ML,4,9,118.0,95
s18,ML,5,10,118.0,120
s18,ML,6,8,118.0,96
s18,ML,9,6,118.0,123
s18,MNS,1,6,61.0,90
s18,MNS,2,8,61.0,171
s18,MNS,3,6,61.0,97
s18,MNS,4,6,61.0,95
s18,MNS,5,5,61.0,120
s18,MNS,6,4,61.0,96
s18,MNS,9,9,61.0,123
s18,MNS,10,1,61.0,71
s18,Systems,1,4,42.0,90
s18,Systems,2,3,42.0,171
s18,Systems,3,4,42.0,97
s18,Systems,4,8,42.0,95
s18,Systems,5,12,42.0,120
s18,Systems,6,13,42.0,96
s18,Systems,9,11,42.0,123
s18,Systems,10,2,42.0,71
f18,ISG,0,5,112.0,131
f18,ISG,2,4,112.0,126
f18,ISG,3,1,112.0,95
f18,ISG,4,3,112.0,161
f18,ISG,7,11,112.0,163
f18,ISG,9,2,112.0,128
f18,ISG,10,11,112.0,137
f18,ML,0,15,130.0,131
f18,ML,2,21,130.0,126
f18,ML,3,9,130.0,95
f18,ML,4,14,130.0,161
f18,ML,7,22,130.0,163
f18,ML,9,15,130.0,128
f18,ML,10,8,130.0,137
f18,MNS,0,9,53.0,131
f18,MNS,2,5,53.0,126
f18,MNS,3,2,53.0,95
f18,MNS,4,12,53.0,161
f18,MNS,7,5,53.0,163
f18,MNS,9,5,53.0,128
f18,MNS,10,7,53.0,137
f18,Systems,0,1,38.0,131
f18,Systems,3,2,38.0,95
f18,Systems,7,2,38.0,163
f18,Systems,10,2,38.0,137
w19,ISG,1,8,116.0,138
w19,ISG,2,11,116.0,152
w19,ISG,3,1,116.0,12
w19,ISG,5,8,116.0,119
w19,ISG,7,8,116.0,154
w19,ISG,10,4,116.0,122
w19,ML,1,20,151.0,138
w19,ML,2,17,151.0,152
w19,ML,5,10,151.0,119
w19,ML,6,1,151.0,15
w19,ML,7,10,151.0,154
w19,ML,10,13,151.0,122
w19,MNS,0,1,60.0,3
w19,MNS,1,6,60.0,138
w19,MNS,2,13,60.0,152
w19,MNS,5,4,60.0,119
w19,MNS,6,1,60.0,15
w19,MNS,7,16,60.0,154
w19,MNS,10,7,60.0,122
w19,Systems,1,1,17.0,138
w19,Systems,2,1,17.0,152
w19,Systems,7,2,17.0,154
w19,Systems,10,2,17.0,122
s19,ISG,7,10,87.0,83
s19,ML,7,2,100.0,83
s19,MNS,7,7,49.0,83
s19,Systems,7,3,13.0,83
